	Chemical name	Internal compound ID	Compound Class	PubChem CID	PUBCHEM_isosmiles
425	EMAMECTIN BENZOATE	12_A9	pesticide	11650986	CC[C@H](C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)NC)OC)OC)\\C)C.C1=CC=C(C=C1)C(=O)O
426	ENDOSULFAN	5_G2	pesticide	3224	C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
427	ENDOSULFAN ALCOHOL	9_H12	pesticide	92170	C(C1C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)CO)O
428	ENDOSULFAN ETHER	9_G2	pesticide-related	97768	C1C2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
429	ENDOSULFAN LACTONE	9_A3	pesticide metabolite	145710	C1C2C(C(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
430	ENDOSULFAN SULFATE	9_B3	pesticide	13940	C1C2C(COS(=O)(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
431	ENDRIN	5_F2	pesticide	12358480	C1[C@@H]2[C@@H]3[C@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl
432	EPN	8_E1	pesticide	16421	CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-]
433	EPOXICONAZOLE	9_F6	pesticide	3317081	C1=CC=C(C(=C1)C2C(O2)(CN3C=NC=N3)C4=CC=C(C=C4)F)Cl
434	EPTC	10_D9	pesticide	12968	CCCN(CCC)C(=O)SCC
436	ESFENVALERATE	12_A3	pesticide	10342051	CC(C)[C@@H](C1=CC=C(C=C1)Cl)C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3
437	ETACONAZOL	10_E9	pesticide	91673	CCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl
438	ETHALFLURALIN	10_F9	pesticide	41381	CCN(CC(=C)C)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
439	ETHAMETSULFURON-METHYL	5_F5	pesticide	91756	CCOC1=NC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)NC
440	ETHEPHON  (2-CHLOROETHYL-	10_B1	pesticide	27982	C(CCl)P(=O)(O)O
441	ETHIDIMURON	10_G9	pesticide	91596	CCS(=O)(=O)C1=NN=C(S1)N(C)C(=O)NC
442	ETHIOFENCARB	2_F7	pesticide	34766	CCSCC1=CC=CC=C1OC(=O)NC
443	ETHIOFENCARB-SULFON	2_H10	pesticide metabolite	119490	CCS(=O)(=O)CC1=CC=CC=C1OC(=O)NC
444	ETHIOFENCARB-SULFOXIDE	2_A11	pesticide metabolite	3035207	CCS(=O)CC1=CC=CC=C1OC(=O)NC
445	ETHIOLAT	10_H9	pesticide	18055	CCN(CC)C(=O)SCC
446	ETHION	2_G7	pesticide	3286	CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
447	ETHIPROLE	6_E11	pesticide	9930667	CCS(=O)C1=C(N(N=C1C#N)C2=C(C=C(C=C2Cl)C(F)(F)F)Cl)N
448	ETHOFUMESATE	10_A10	pesticide	33360	CCOC1C(C2=C(O1)C=CC(=C2)OS(=O)(=O)C)(C)C
449	ETHOFUMESATE-2 KETO	6_E10	pesticide metabolite	590774	CC1(C2=C(C=CC(=C2)OS(=O)(=O)C)OC1=O)C
450	ETHOPROPHOS; ETHOPROP	2_C12	pesticide	3289	CCCSP(=O)(OCC)SCCC
452	ETHOXYSULFURON	12_C3	pesticide	3623881	CCOC1=CC=CC=C1OS(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
453	ETHYCHLOZATE	7_G2	pesticide	119653	CCOC(=O)CC1=C2C=C(C=CC2=NN1)Cl
454	ETHYLPARABEN	3_A10	pesticide-related	8434	CCOC(=O)C1=CC=C(C=C1)O
455	ETOBENZANID	12_E7	pesticide	12771065	CCOCOC1=CC=C(C=C1)C(=O)NC2=C(C(=CC=C2)Cl)Cl
456	ETONFENPROX	7_A3	pesticide	71245	CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3
457	ETOXAZOLE	5_H7	pesticide	153974	CCOC1=C(C=CC(=C1)C(C)(C)C)C2COC(=N2)C3=C(C=CC=C3F)F
458	ETRIDIAZOL	7_B7	pesticide	17432	CCOC1=NC(=NS1)C(Cl)(Cl)Cl
459	ETRIMFOS (MIXTURE)	2_H7	pesticide	37995	CCC1=NC(=CC(=N1)OP(=S)(OC)OC)OCC
460	EUGENOL	3_C9	pesticide	3314	COC1=C(C=CC(=C1)CC=C)O
461	FAMPHUR	7_C7	pesticide	5859	CN(C)S(=O)(=O)C1=CC=C(C=C1)OP(=S)(OC)OC
462	FENAMIDONE	6_H10	pesticide	10403199	C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3
463	FENAMINOSULF	2_E1	pesticide	23668198	CN(C)C1=CC=C(C=C1)N=NS(=O)(=O)[O-].[Na+]
464	FENAMIPHOS	2_A8	pesticide	31070	CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)SC)C
465	FENAMIPHOS SULFOXIDE	3_E2	pesticide metabolite	36027	CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)S(=O)C)C
466	FENAMIPHOS-SULFON	3_D2	pesticide metabolite	36028	CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)S(=O)(=O)C)C
467	FENARIMOL	10_B12	pesticide	43226	C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)(C3=CN=CN=C3)O)Cl
468	FENAZAFLOR	2_A3	pesticide	26597	C1=CC=C(C=C1)OC(=O)N2C3=CC(=C(C=C3N=C2C(F)(F)F)Cl)Cl
469	FENAZAQUIN	4_A7	pesticide	86356	CC(C)(C)C1=CC=C(C=C1)CCOC2=NC=NC3=CC=CC=C32
470	FENAZOX; AZOXYBENZENE	11_E9	pesticide-related	6395729	C1=CC=C(C=C1)N[N+](=O)C2=CC=CC=C2
471	FENBUCONAZOL	4_D12	pesticide	86138	C1=CC=C(C=C1)C(CCC2=CC=C(C=C2)Cl)(CN3C=NC=N3)C#N
472	FENBUTATIN OXIDE	7_D12	pesticide	16683004	CC(C)(C[Sn](CC(C)(C)C1=CC=CC=C1)(CC(C)(C)C2=CC=CC=C2)O[Sn](CC(C)(C)C3=CC=CC=C3)(CC(C)(C)C4=CC=CC=C4)CC(C)(C)C5=CC=CC=C5)C6=CC=CC=C6
473	FENCHLORAZOL-ETHYL	4_C6	pesticide	3033865	CCOC(=O)C1=NN(C(=N1)C(Cl)(Cl)Cl)C2=C(C=C(C=C2)Cl)Cl
474	FENCHLORPHOS	1_H12	pesticide	9298	COP(=S)(OC)OC1=CC(=C(C=C1Cl)Cl)Cl
475	FENCLORIM	11_B12	pesticide	77338	C1=CC=C(C=C1)C2=NC(=CC(=N2)Cl)Cl
476	FENFURAM	10_C10	pesticide	90590	CC1=C(C=CO1)C(=O)NC2=CC=CC=C2
477	FENHEXAMID	4_F8	pesticide	213031	CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl
478	FENITROTHION	2_B8	pesticide	31200	CC1=C(C=CC(=C1)OP(=S)(OC)OC)[N+](=O)[O-]
479	FENOBUCARB	10_D10	pesticide	19588	CCC(C)C1=CC=CC=C1OC(=O)NC
480	FENOTHIOCARB	1_B7	pesticide	44178	CN(C)C(=O)SCCCCOC1=CC=CC=C1
481	FENOXANIL	6_B12	pesticide	11262655	CC(C)C(C)(C#N)NC(=O)C(C)OC1=C(C=C(C=C1)Cl)Cl
482	FENOXAPROP RACEMATE	2_H3	pesticide	86134	CC(C(=O)O)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl
483	FENOXAPROP-ETHYL (RACEMATE)	3_B8	pesticide	47938	CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl
484	FENOXAPROP-P	11_B1	pesticide	11949285	C[C@H](C(=O)O)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl
485	FENOXAPROP-P-ETHYL	1_F2	pesticide	91707	CCOC(=O)[C@@H](C)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl
486	FENOXYCARB	7_E7	pesticide	51605	CCOC(=O)NCCOC1=CC=C(C=C1)OC2=CC=CC=C2
487	FENPICLONIL	11_H1	pesticide	91724	C1=CC(=C(C(=C1)Cl)Cl)C2=CNC=C2C#N
488	FENPROPATHRIN	1_C4	pesticide	47326	CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C
489	FENPROPIDIN	11_F10	pesticide	91694	CC(CC1=CC=C(C=C1)C(C)(C)C)CN2CCCCC2
490	FENPROPIMORPH	2_G3	pesticide	93365	C[C@@H]1CN(C[C@@H](O1)C)CC(C)CC2=CC=C(C=C2)C(C)(C)C
491	FENPYROXIMATE	4_B8	pesticide	9576412	CC1=NN(C(=C1/C=N/OCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C
492	FENSON	10_E10	pesticide	6636	C1=CC=C(C=C1)S(=O)(=O)OC2=CC=C(C=C2)Cl
493	FENSULFOTHION	2_D5	pesticide	8292	CCOP(=S)(OCC)OC1=CC=C(C=C1)S(=O)C
494	FENSULFOTHION PO-SULFONE	1_B9	pesticide metabolite	80214	CCOP(=O)(OCC)OC1=CC=C(C=C1)S(=O)(=O)C
495	FENTHION	1_E3	pesticide	3346	CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC
496	FENTHION OXON	3_E3	pesticide metabolite	23046	CC1=C(C=CC(=C1)OP(=O)(OC)OC)SC
497	FENTHION OXON SULFONE	1_E6	pesticide metabolite	26449	CC1=C(C=CC(=C1)OP(=O)(OC)OC)S(=O)(=O)C
498	FENTHION OXON SULFOXIDE	1_F6	pesticide metabolite	23047	CC1=C(C=CC(=C1)OP(=O)(OC)OC)S(=O)C
499	FENTHION-SULFONE	2_G11	pesticide metabolite	19578	CC1=C(C=CC(=C1)OP(=S)(OC)OC)S(=O)(=O)C
500	FENTHIONSULFOXIDE	2_H4	pesticide	19577	CC1=C(C=CC(=C1)OP(=S)(OC)OC)S(=O)C
501	FENTIN CHLORIDE	2_C8	pesticide	12540	C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)(C3=CC=CC=C3)Cl
502	FENTIN HYDROXIDE	2_D8	pesticide	6327657	C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)C3=CC=CC=C3.O
503	FENTRAZAMIDE	9_F9	pesticide	3081363	CCN(C1CCCCC1)C(=O)N2C(=O)N(N=N2)C3=CC=CC=C3Cl
504	FENURON	10_G10	pesticide	7560	CN(C)C(=O)NC1=CC=CC=C1
505	FENVALERATE	10_H10	pesticide	3347	CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3
506	FERIMZONE	3_H1	pesticide	9013425	CC1=CC=CC=C1/C(=N\\NC2=NC(=CC(=N2)C)C)/C
508	FIPRONIL CARBOXAMIDE	7_E9	pesticide metabolite	9933690	C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C(=O)N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F
509	FIPRONIL SULFIDE	7_F9	pesticide	9953940	C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)SC(F)(F)F)N)Cl)C(F)(F)F
510	FIPRONIL SULFONE	5_H4	pesticide metabolite	3078139	C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)(=O)C(F)(F)F)N)Cl)C(F)(F)F
511	FIPRONIL-DESULFINYL	12_A1	pesticide	22673275	C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)C(F)(F)F)N)Cl)C(F)(F)F
512	FLAMPROP-M-ISOPROPYL	11_B9, 3_B1	pesticide	94583	C[C@H](C(=O)OC(C)C)N(C1=CC(=C(C=C1)F)Cl)C(=O)C2=CC=CC=C2
513	FLAZASULFURON	7_B2	pesticide	93539	COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC=N2)C(F)(F)F)OC
514	FLOCOUMAFEN (MIXTURE OF ISOMERS)	7_F2	pesticide	54698175	C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)OCC6=CC=C(C=C6)C(F)(F)F
515	FLONICAMID	5_C8	pesticide	9834513	C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N
516	FLONICAMID METABOLITE TFNG	7_H9	pesticide metabolite	46835486	C1=CN=CC(=C1C(F)(F)F)C(=O)NCC(=O)O
517	FLORASULAM	5_G9	pesticide	11700495	COC1=NC=C(C2=NC(=NN21)S(=O)(=O)NC3=C(C=CC=C3F)F)F
518	FLUAZIFOP	6_A12	pesticide	91701	CC(C(=O)O)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
519	FLUAZIFOP-BUTYL	4_E12	pesticide	50897	CCCCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
520	FLUAZIFOP-METHYL	6_H11	pesticide	155294	CC(C(=O)OC)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
521	FLUAZIFOP-P	6_B2	pesticide	91733	C[C@H](C(=O)O)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
522	FLUAZIFOP-P-BUTYL	4_D8	pesticide	3033674	CCCCOC(=O)[C@@H](C)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
523	FLUAZINAM	7_B3	pesticide	91731	C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F
524	FLUAZURON	12_D2	pesticide	65651	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F
525	FLUBENDIAMID	5_D11	pesticide	11193251	CC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)F)NC(=O)C2=C(C(=CC=C2)I)C(=O)NC(C)(C)CS(=O)(=O)C
526	FLUBENZIMIN	10_A11	pesticide	5372194	C1=CC=C(C=C1)N=C2N(/C(=N/C(F)(F)F)/C(=N/C(F)(F)F)/S2)C3=CC=CC=C3
527	FLUCYCLOXURON (MIXTURE OF E AND Z)	5_C9	pesticide	5483846	C1CC1/C(=N/OCC2=CC=C(C=C2)NC(=O)NC(=O)C3=C(C=CC=C3F)F)/C4=CC=C(C=C4)Cl
528	FLUCYTHRINATE	1_G8	pesticide	50980	CC(C)C(C1=CC=C(C=C1)OC(F)F)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3
529	FLUDIOXONIL	12_B2	pesticide	86398	C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N
530	FLUFENACET	4_H8	pesticide	86429	CC(C)N(C1=CC=C(C=C1)F)C(=O)COC2=NN=C(S2)C(F)(F)F
531	FLUFENACET ESA SODIUM SALT	12_C11	pesticide metabolite	23676741	CC(C)N(C1=CC=C(C=C1)F)C(=O)CS(=O)(=O)[O-].[Na+]
532	FLUFENACET METABOLITE FOE5043	1_F10	pesticide metabolite	129318112	CC(C)N(C1=CC=C(C=C1)F)C(=O)CS(=O)CC(=O)O
533	FLUFENACET OA	7_H3	pesticide metabolite	16212222	CC(C)N(C1=CC=C(C=C1)F)C(=O)C(=O)O
534	FLUFENOXURON	4_G6	pesticide	91766	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F
535	FLUMETHRIN	12_G4	pesticide	6033664	CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)/C=C(/C4=CC=C(C=C4)Cl)\\Cl)C
536	FLUMETRALIN	10_C11	pesticide	62210	CCN(CC1=C(C=CC=C1Cl)F)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
537	FLUMETSULAM	9_B11	pesticide	91759	CC1=NC2=NC(=NN2C=C1)S(=O)(=O)NC3=C(C=CC=C3F)F
538	FLUMICLORAC	9_C11	pesticide	92414	C1CCC2=C(C1)C(=O)N(C2=O)C3=CC(=C(C=C3F)Cl)OCC(=O)O
539	FLUMIOXAZIN	5_A9	pesticide	92425	C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F
540	FLUMORPH (MIXTURE OF E AND Z ISOMERS)	9_B7	pesticide	11057755	COC1=C(C=C(C=C1)/C(=C/C(=O)N2CCOCC2)/C3=CC=C(C=C3)F)OC
541	FLUOCHLORALIN	10_B11	pesticide	36392	CCCN(CCCl)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
542	FLUOMETURON	10_D11	pesticide	16562	CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F
543	FLUOPICOLIDE	9_G10	pesticide	11159021	C1=CC(=C(C(=C1)Cl)C(=O)NCC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl
544	FLUOPYRAM	5_C7	pesticide	11158353	C1=CC=C(C(=C1)C(=O)NCCC2=C(C=C(C=N2)C(F)(F)F)Cl)C(F)(F)F
545	FLUORODIFEN	10_E11	pesticide	27295	C1=CC(=CC=C1[N+](=O)[O-])OC2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-]
546	FLUOTRIMAZOL	10_F11	pesticide	91600	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC(=CC=C3)C(F)(F)F)N4C=NC=N4
547	FLUOXASTROBIN	6_C9	pesticide	11048796	CO/N=C(\\C1=CC=CC=C1OC2=C(C(=NC=N2)OC3=CC=CC=C3Cl)F)/C4=NOCCO4
548	FLUPYRADIFURONE	9_G7	pesticide	16752772	C1C(=CC(=O)O1)N(CC2=CN=C(C=C2)Cl)CC(F)F
549	FLUPYRSULFURON-METHYL SODIUM	12_D9	pesticide	15764724	COC1=CC(=NC(=N1)NC(=O)[N-]S(=O)(=O)C2=C(C=CC(=N2)C(F)(F)F)C(=O)OC)OC.[Na+]
550	FLUQUINCONAZOLE	12_D3	pesticide	86417	C1=CC2=C(C=C1F)C(=O)N(C(=N2)N3C=NC=N3)C4=C(C=C(C=C4)Cl)Cl
551	FLURENOL-METHYL ESTER	4_F5	pesticide	267210	COC(=O)C1(C2=CC=CC=C2C3=CC=CC=C31)O
552	FLURIDON	10_G11	pesticide	43079	CN1C=C(C(=O)C(=C1)C2=CC(=CC=C2)C(F)(F)F)C3=CC=CC=C3
553	FLUROXYPYR	11_D9	pesticide	50465	C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F
554	FLUROXYPYR-1-METHYLHEPTYL ESTER	9_C6	pesticide	54745	CCCCCCC(C)OC(=O)COC1=NC(=C(C(=C1Cl)N)Cl)F
555	FLURPRIMIDOL	5_G8	pesticide	73668	CC(C)C(C1=CC=C(C=C1)OC(F)(F)F)(C2=CN=CN=C2)O
556	FLURTAMONE	12_B3	pesticide	91755	CNC1=C(C(=O)C(O1)C2=CC=CC=C2)C3=CC(=CC=C3)C(F)(F)F
557	FLUSILAZOLE	11_C9	pesticide	73675	C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F
558	FLUTHIACET-METHYL	5_D12	pesticide	93542	COC(=O)CSC1=C(C=C(C(=C1)N=C2N3CCCCN3C(=O)S2)F)Cl
559	FLUTRIAFOL	7_F7	pesticide	91727	C1=CC=C(C(=C1)C(CN2C=NC=N2)(C3=CC=C(C=C3)F)O)F
560	FLUXAPYROXAD	9_E7	pesticide	16095400	CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F
561	FLUXOFENIM	11_G1	pesticide	91747	C1COC(O1)CON=C(C2=CC=C(C=C2)Cl)C(F)(F)F
562	FOLPET	5_C3	pesticide	8607	C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl
563	FOMESAFEN	12_A4	pesticide	51556	CS(=O)(=O)NC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-]
564	FORAMSULFURON	6_F11	pesticide	11419598	CN(C)C(=O)C1=C(C=C(C=C1)NC=O)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
565	FORCHLORFENURON	6_F3	pesticide	93379	C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl
566	FORMETANATE HYDROCHLORIDE	2_F1	pesticide	31899	CNC(=O)OC1=CC=CC(=C1)N=CN(C)C.Cl
567	FOSTHIAZATE	1_G9	pesticide	91758	CCC(C)SP(=O)(N1CCSC1=O)OCC
568	FUBERIDAZOL	10_H11	pesticide	19756	C1=CC=C2C(=C1)NC(=N2)C3=CC=CO3
569	FURALAXYL	11_A12	pesticide	42504	CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)C2=CC=CO2
570	FURATHIOCARB	7_E1	pesticide	47759	CCCCOC(=O)N(C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C
571	FURILAZOLE	1_G6	pesticide	86187	CC1(N(CC(O1)C2=CC=CO2)C(=O)C(Cl)Cl)C
572	FURMECYCLOX	7_G7	pesticide	43359	CC1=CC(=C(O1)C)C(=O)N(C2CCCCC2)OC
573	GENITE	11_B2	pesticide	7327	C1=CC=C(C=C1)S(=O)(=O)OC2=C(C=C(C=C2)Cl)Cl
574	GIBBERELLIC ACID; GA3; GIBBERELLIN A3	4_A12	pesticide	6466	C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O
575	GLUFOSINATE-AMMONIUM	2_G1	pesticide	53597	CP(=O)(CCC(C(=O)[O-])N)O.[NH4+]
576	GLYPHOSATE	11_C2	pesticide	3496	C(C(=O)O)NCP(=O)(O)O
577	GUAZATINE ACETATE SALT	9_C10	pesticide	12575234	CC(=O)O.C(CCCCN=C(N)N)CCCNCCCCCCCCN=C(N)N
578	HALFENPROX	2_E4	pesticide	10140464	CC(C)(COCC1=CC(=CC=C1)OC2=CC=CC=C2)C3=CC=C(C=C3)OC(F)(F)Br
579	HALOFENOZIDE	12_G6	pesticide	114994	CC(C)(C)N(C(=O)C1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)Cl
580	HALOSULFURON-METHYL	6_E2	pesticide	91763	CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
581	HALOXYFOP	7_F10	pesticide	50895	CC(C(=O)O)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)C(F)(F)F)Cl
582	HALOXYFOP-2-ETHOXYETHYL	4_C11	pesticide	91743	CCOCCOC(=O)C(C)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)C(F)(F)F)Cl
583	HALOXYFOP-METHYL	6_A4	pesticide	50896	CC(C(=O)OC)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)C(F)(F)F)Cl
584	HALOXYFOP-P	7_E10	pesticide	448979	C[C@H](C(=O)O)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)C(F)(F)F)Cl
585	HALOXYFOP-P-METHYL	6_H3	pesticide	13363033	C[C@H](C(=O)OC)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)C(F)(F)F)Cl
587	HEPTACHLOR	5_C12	pesticide	3589	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl
588	HEPTACHLOR ENDO-EPOXIDE (ISOMER A)	7_B11	pesticide metabolite	16212294	[C@@H]12[C@@H]([C@H]([C@H]3[C@@H]1O3)Cl)C4(C(=C(C2(C4(Cl)Cl)Cl)Cl)Cl)Cl
589	HEPTACHLOR EXO-EPOXIDE (ISOMER B)	7_A6	pesticide metabolite	16212247	[C@@H]12[C@@H]([C@H]([C@@H]3[C@H]1O3)Cl)C4(C(=C(C2(C4(Cl)Cl)Cl)Cl)Cl)Cl
590	HEPTENOPHOS	9_H10	pesticide	62773	COP(=O)(OC)OC1=C(C2C1CC=C2)Cl
591	HEXACHLOROBENZENE	11_D2	pesticide	8370	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl
593	HEXACONAZOL	7_H7	pesticide	66461	CCCCC(CN1C=NC=N1)(C2=C(C=C(C=C2)Cl)Cl)O
594	HEXAFLUMURON	9_E9	pesticide	91741	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2)Cl)OC(C(F)F)(F)F)Cl)F
595	HEXAZINONE	8_D3	pesticide	39965	CN1C(=NC(=O)N(C1=O)C2CCCCC2)N(C)C
596	HEXYTHIAZOX	6_F12	pesticide	13218777	C[C@H]1[C@@H](SC(=O)N1C(=O)NC2CCCCC2)C3=CC=C(C=C3)Cl
597	HMDI	9_E1	pesticide-related	21202	C1CC(CCC1CC2CCC(CC2)N=C=O)N=C=O
598	HYDRAMETHYLNON	7_D10	pesticide	5281875	CC1(CN=C(NC1)NN=C(/C=C/C2=CC=C(C=C2)C(F)(F)F)/C=C/C3=CC=C(C=C3)C(F)(F)F)C
599	HYDROXYTEBUCONAZOLE	3_C12	pesticide metabolite	131667614	CC(C)(CO)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
601	IMAZALIL SULFATE	12_F10	pesticide	173636	C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl.OS(=O)(=O)O
602	IMAZAMETHABENZ-METHYL (MIXTURE OF ISOMERS)	7_A8	pesticide	54744	CC1=CC(=C(C=C1)C(=O)OC)C2=NC(C(=O)N2)(C)C(C)C
603	IMAZAMOX	7_C12	pesticide	86137	CC(C)C1(C(=O)NC(=N1)C2=C(C=C(C=N2)COC)C(=O)O)C
604	IMAZAPIC	7_D4	pesticide	91770	CC1=CC(=C(N=C1)C2=NC(C(=O)N2)(C)C(C)C)C(=O)O
605	IMAZAPYR	9_E12	pesticide	54738	CC(C)C1(C(=O)NC(=N1)C2=C(C=CC=N2)C(=O)O)C
606	IMAZAQUIN	9_F8	pesticide	54739	CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C
607	IMAZETHAPYR	9_D10	pesticide	54740	CCC1=CC(=C(N=C1)C2=NC(C(=O)N2)(C)C(C)C)C(=O)O
608	IMAZOSULFURON	6_F2	pesticide	92433	COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(N=C3N2C=CC=C3)Cl)OC
609	IMIDACLOPRID	3_H8	pesticide	86287518	C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl
610	IMINOCTADINE TRIACETATE	3_E4	pesticide	162366	CC(=O)O.CC(=O)O.CC(=O)O.C(CCCCN=C(N)N)CCCNCCCCCCCCN=C(N)N
